序号,中文名称,图片文件名,英文ID,,映射关系,,,
1,角闪石,amphibole_001.jpeg,amphibole,,角闪石-amphibole_001.jpeg,,,
2,黑云母,biotite_001.jpeg,biotite,,黑云母-biotite_001.jpeg,,,
3,粘土矿物,clay_minerals_001.jpeg,clay_minerals,,粘土矿物-clay_minerals_001.jpeg,,,
4,长石,feldspar_001.jpeg,feldspar,,长石-feldspar_001.jpeg,,,
5,石榴石,garnet_001.jpeg,garnet,,石榴石-garnet_001.jpeg,,,
6,重矿物,heavy_minerals_001.png,heavy_minerals,,重矿物-heavy_minerals_001.png,,,
7,紫苏辉石,hypersthene_001.jpeg,hypersthene,,紫苏辉石-hypersthene_001.jpeg,,,
8,伊利石,illite_001.png,illite,,伊利石-illite_001.png,,,111111111
9,伊利石 (蚀变产物),illite_alteration_001.png,illite_alteration,,伊利石 (蚀变产物)-illite_alteration_001.png,,,
10,磁铁矿,magnetite_001.jpeg,magnetite,,磁铁矿-magnetite_001.jpeg,,,
11,橄榄石,olivine_001.jpeg,olivine,,橄榄石-olivine_001.jpeg,,,
12,斜方辉石,orthopyroxene_001.png,orthopyroxene,,斜方辉石-orthopyroxene_001.png,,,
13,斜长石,plagioclase_001.png,plagioclase,,斜长石-plagioclase_001.png,,,
14,浮石,pumice_001.png,pumice,,浮石-pumice_001.png,,,
15,辉石,pyroxene_001.jpeg,pyroxene,,辉石-pyroxene_001.jpeg,,,
16,石英,quartz_001.jpeg,quartz,,石英-quartz_001.jpeg,,,
17,钛磁铁矿,titanomagnetite_001.jpeg,titanomagnetite,,钛磁铁矿-titanomagnetite_001.jpeg,,,111111
18,火山灰,volcanic_ash_001.png,volcanic_ash,,火山灰-volcanic_ash_001.png,,,
19,火山玻璃,volcanic_glass_001.jpeg,volcanic_glass,,火山玻璃-volcanic_glass_001.jpeg,,,
20,锆石,zircon_001.jpeg,zircon,,锆石-zircon_001.jpeg,,,
